cityID,time,t,fid,x,y,water,PC1,PC2,PC3,PC4,water_norm
8,2020,5,132,121.4151598,31.08465728,328770.0313,-2.831969606,-3.240943888,4.41772388,-2.439515115,0.23323076390173095
9,2020,5,133,120.5538215,32.20300618,220540.0156,1.561834692,0.071461993,2.317676191,1.147598988,0.15195259479289056
10,2020,5,134,120.0709758,29.17555776,839924.5625,-3.177973773,-2.316966906,3.282137968,-1.283432763,0.6170956664328654
11,2020,5,135,117.2258163,31.82631484,343500,2.234709873,1.276512301,0.91087766,1.630064059,0.24429262025667303
12,2020,5,136,117.9817861,26.08380415,887890.875,-2.876056655,-2.954118474,4.560866955,-1.996651011,0.6531172269370139
13,2020,5,137,111.7080139,27.60713887,829827.375,0.587693277,-2.037184146,-0.881696539,-3.660257653,0.6095129186355862
14,2020,5,138,115.7205187,27.61361806,846414.9375,1.08336607,2.61269681,1.974221016,3.239908942,0.6219697837783902
15,2020,5,139,118.1537918,36.35127141,564516.3125,3.299666434,1.959655199,1.346209734,3.034012506,0.4102706172753626
16,2020,5,140,113.6135136,33.88226127,458361.5625,1.673990167,-0.710383188,0.711251978,-0.561076922,0.3305509233771136
17,2020,5,141,112.268591,30.97568911,802410.0625,0.474667062,-1.591926807,0.680956458,-2.594245264,0.5889231686713817
18,2020,5,142,113.4276925,23.71031747,845138,-0.321379402,-2.7437788,1.429336728,-2.507681148,0.6210108340693362
19,2020,5,143,108.7866601,23.82858447,881544.4375,0.03781328,-2.074788632,0.146944658,-1.823714852,0.6483512032325224
20,2020,5,144,109.74311,19.19713384,886236.8125,-3.405197631,-4.058668779,4.152199462,-2.034713964,0.6518750653174107
21,2020,5,145,107.8751823,30.05912925,718196.5,-0.059734885,-0.966805023,-0.558542073,-1.947221761,0.5256807850325803
22,2020,5,146,102.6923498,30.62979532,266976.25,1.837012393,0.465780615,-0.390629988,-0.73057253,0.18682510301466432
23,2020,5,147,106.8741124,26.81589901,657160,-0.760458879,-1.78262226,-2.823448119,-1.505261174,0.4798438244008566
24,2020,5,148,101.861664,24.22399975,677630.5,0.894836664,0.174306072,-0.864446282,-0.479409091,0.49521668330678503
25,2020,5,149,88.44235547,31.49119642,311921.4375,-8.31387868,-0.636739291,0.303976658,1.007331014,0.22057787045747212
26,2020,5,150,108.367283,33.77575343,397400.5625,1.003229676,1.165883498,-0.229224646,1.818476406,0.284770661450717
27,2020,5,151,96.43045075,40.50407365,18199.92969,-0.72237964,0.674903845,-0.261500524,1.385731971,0
28,2020,5,152,96.03756481,35.67094527,231923.0156,-3.634966689,-2.140359773,-3.268393622,0.657823929,0.16050095721326052
29,2020,5,153,105.9722025,37.19338985,275965.6875,-1.186318026,0.013946764,0.359415525,0.073782583,0.19357595689371768
30,2020,5,154,85.19105645,41.11736074,43399.99219,-2.644477202,-1.925528063,4.243941636,0.884236203,0.018924647919351157
0,2023,6,155,116.4104734,40.18506957,405029.6563,-3.854848759,0.130918942,4.215524821,1.329712884,0.29049992954712367
1,2023,6,156,117.3328025,39.2945395,414974.8125,-0.580710675,2.861220014,1.907815651,1.821071095,0.2979685054519633
2,2023,6,157,115.0556983,38.8862,246819.9844,0.496255713,3.168145806,0.86029399,2.626467571,0.1716882266736263
3,2023,6,158,112.2910057,37.57371516,359190.0313,0.26734903,3.325633848,-1.359035806,1.257219355,0.25607546080304466
4,2023,6,159,111.624073,41.58407166,192523.8906,0.307588583,3.068954608,-0.517645361,0.337053253,0.13091315087526012
5,2023,6,160,124.0472795,41.55091067,598668.75,-0.660064674,3.500827066,1.104497905,-0.894094106,0.4359182860172614
6,2023,6,161,126.1893961,43.66493432,563877.1875,0.067426784,4.553774654,0.028908507,-1.165623673,0.409790649592685
7,2023,6,162,128.135853,46.95166178,345306.75,3.662858827,3.97334447,-2.114883075,-0.610368326,0.24564944655931764
8,2023,6,163,121.4151598,31.08465728,337530,-2.188190565,-3.139376466,3.231731555,-2.303245296,0.239809292166573
9,2023,6,164,120.5538215,32.20300618,795899.9375,1.754112133,0.074389025,1.788887251,1.112197579,0.5840342195453244
10,2023,6,165,120.0709758,29.17555776,847558.5,-2.595959904,-2.334035546,2.286189971,-1.125134904,0.6228285720328349
11,2023,6,166,117.2258163,31.82631484,360060.0313,2.176299551,1.254328758,0.46093629,1.715373816,0.2567288101227075
12,2023,6,167,117.9817861,26.08380415,898075,-2.313677891,-2.911822998,2.798846662,-2.129829548,0.660765262730245
13,2023,6,168,111.7080139,27.60713887,830623.9375,0.487358144,-1.98483266,-1.204468842,-3.474542947,0.6101111181383954
14,2023,6,169,115.7205187,27.61361806,859080.3125,1.000435336,2.734954171,1.828631653,3.246550526,0.6314811793410621
15,2023,6,170,118.1537918,36.35127141,528895.1875,3.165075504,2.07051811,0.998703396,3.07615514,0.38351999913240375
16,2023,6,171,113.6135136,33.88226127,462183.0938,1.510252794,-0.765641671,0.117017658,-0.4278678,0.3334208025436943
17,2023,6,172,112.268591,30.97568911,853790.0625,0.743725774,-1.626600498,-0.014711178,-2.563480906,0.6275083273429629
18,2023,6,173,113.4276925,23.71031747,852291.375,-0.130972638,-2.708457492,0.786200511,-2.537874929,0.6263828486550179
19,2023,6,174,108.7866601,23.82858447,875159.4375,0.230816833,-2.122851166,-0.522523772,-1.783223003,0.6435562200071809
20,2023,6,175,109.74311,19.19713384,884453.5,-4.037160281,-4.007677076,3.893636441,-1.903302487,0.650535840020145
21,2023,6,176,107.8751823,30.05912925,448044.875,-0.179990398,-1.139115316,-1.751730841,-1.710891722,0.3228033362974597
22,2023,6,177,102.6923498,30.62979532,262478.9688,1.749268132,0.27282892,-1.370952854,-0.639931554,0.18344775173609834
23,2023,6,178,106.8741124,26.81589901,709271.0625,-0.873910136,-1.50249613,-3.592225138,-1.205429023,0.5189779936322148
24,2023,6,179,101.861664,24.22399975,490837.6563,0.628970654,0.202585994,-1.472593592,-0.448282093,0.3549396978478445
25,2023,6,180,88.44235547,31.49119642,305758.7188,-9.004136269,-0.391104022,0.089900218,1.219201095,0.21594981520469242
26,2023,6,181,108.367283,33.77575343,409618,0.979862331,1.097840675,-0.571695213,1.76748598,0.2939456665985883
27,2023,6,182,96.43045075,40.50407365,54000.00391,-0.988375349,0.638046325,-0.225032023,1.382723872,0.026885004753465988
28,2023,6,183,96.03756481,35.67094527,240321.8594,-3.706971052,-2.090612409,-3.63935693,0.52846862,0.16680828926232288
29,2023,6,184,105.9722025,37.19338985,227975.8906,-1.864084672,0.146585674,0.305969066,0.084363049,0.15753676016340523
30,2023,6,185,85.19105645,41.11736074,54299.79297,-3.298438511,-1.574821295,5.194149181,1.171315546,0.02711013921138939
